Amostra	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
B2Am001	-0.0410497	0.0625902	-0.0140062	-0.024144	0.0116364	0.0786845	0.0549737	-0.0874462	0.00750796	0.015838
B2Am002	-0.0403571	0.0622642	-0.0103221	-0.0189842	0.0151125	0.0747266	0.0493835	-0.0796565	0.0027626	0.00922087
B2Am003	-0.0396231	0.0641299	-0.00589546	-0.0147978	0.0247461	0.0761599	0.052112	-0.0833661	0.00300459	0.00538748
B2Am004	-0.0382611	0.0638835	-0.0105791	-0.0142283	0.0193228	0.0694375	0.0546281	-0.0700954	0.00273559	0.00668683
B2Am005	-0.0405251	0.0635853	-0.0145842	-0.0210404	0.0145593	0.0692936	0.0616736	-0.0689273	0.00842917	0.014366
B2Am006	-0.0402749	0.0607051	-0.0168883	-0.0221817	0.0170005	0.0783039	0.0504775	-0.0865865	0.0084283	0.0114783
B2Am007	-0.0400742	0.0591252	-0.0209407	-0.0227945	0.0131704	0.0656624	0.0577128	-0.0599276	0.00260917	0.00908189
B2Am008	-0.0395391	0.063671	-0.0109848	-0.0176103	0.0162019	0.0716326	0.0584293	-0.0774754	0.00488122	0.0139104
B2Am009	-0.0400785	0.0647362	-0.0109185	-0.01798	0.0167282	0.0873496	0.0510116	-0.113575	0.00305785	0.00913415
B2Am010	-0.0429524	0.0607489	-0.0107046	-0.0244969	0.0101407	0.0867085	0.0445202	-0.097564	0.00466485	0.0115261
B2Am011	-0.038579	0.0628951	-0.0169761	-0.0184601	0.0155147	0.0654198	0.0647366	-0.0657174	0.00313477	0.0106253
B2Am012	-0.0393973	0.0623147	-0.0149257	-0.0164521	0.0204193	0.0684644	0.0618993	-0.0691132	-0.0019629	0.00341878
B2Am013	-0.0396275	0.0647757	-0.00877977	-0.0164365	0.0201029	0.0796929	0.0468492	-0.0924532	0.000115942	0.00786478
B2Am014	-0.0414788	0.0611995	-0.00349933	-0.0114222	0.0135895	0.0843033	0.0367063	-0.10014	0.00265661	0.00691556
B2Am015	-0.0377324	0.0604222	-0.0187496	-0.0197479	0.0170484	0.0541303	0.0637095	-0.0369911	0.00206576	0.00641486
B2Am016	-0.0396302	0.0636043	-0.0163987	-0.0210885	0.0168693	0.0664664	0.0654837	-0.0632813	0.00260282	0.0110351
B2Am017	-0.0392288	0.0602528	-0.0180973	-0.0210062	0.0146207	0.0720825	0.0526238	-0.0742614	0.00417678	0.00876402
B2Am018	-0.0429217	0.0593441	-0.0100042	-0.0230413	0.0133289	0.087698	0.038354	-0.10151	0.00402141	0.00898584
B2Am019	-0.0396102	0.0631695	-0.0108243	-0.016207	0.015331	0.0718979	0.0552594	-0.0746385	-0.00130261	0.00561954
B2Am020	-0.0406044	0.062162	-0.0087267	-0.0144652	0.0257249	0.0833331	0.0461387	-0.0982437	0.00597005	0.0070491
B2Am021	-0.0382554	0.0616052	-0.0087699	-0.00940576	0.0255914	0.0719389	0.0500262	-0.0789908	-0.000466752	0.000643625
B2Am022	-0.0391995	0.063359	-0.00720505	-0.0135037	0.0141215	0.0754822	0.0417148	-0.0815178	0.00552551	0.0114927
B2Am023	-0.0413345	0.0616596	-0.011055	-0.0187631	0.0120556	0.0809786	0.0450453	-0.0915083	0.000350672	0.00747427
B2Am024	-0.0392008	0.0594245	-0.0113834	-0.0140555	0.0225563	0.0696982	0.048637	-0.0669698	0.00687713	0.00756005
B2Am025	-0.0389913	0.0637919	-0.0134827	-0.0180027	0.014958	0.0703394	0.0583412	-0.0746342	0.00368115	0.0109949
B2Am026	-0.0385217	0.0604404	-0.0156197	-0.0171085	0.018897	0.0683429	0.0486601	-0.0636776	0.0062972	0.00777649
B2Am027	-0.0387754	0.0607744	-0.0165343	-0.0174412	0.0213535	0.0623446	0.0576946	-0.0503487	0.00158802	0.00591041
B2Am028	-0.0398927	0.0595547	-0.0175115	-0.0198084	0.0168467	0.0760947	0.0513306	-0.0808475	0.00720552	0.00782581
B2Am029	-0.0401992	0.0617733	-0.0114048	-0.0178094	0.023655	0.0759931	0.0538482	-0.0782535	-0.00220463	0.00338365
B2Am030	-0.0387542	0.0601329	-0.0131172	-0.0171287	0.020111	0.0744048	0.0484081	-0.0761941	-0.0081038	-7.74762e-05
B2Am031	0.0902964	0.00895613	0.0969076	-0.123296	0.0178786	-0.0347052	-0.0164731	-0.00923697	0.0484291	0.0241648
B2Am032	0.0891878	0.00898203	0.0953424	-0.133675	0.0148856	-0.02876	-0.00134856	-0.00862563	-0.0041467	0.0833106
B2Am033	0.080058	0.0117436	0.0840473	-0.118286	0.0143916	-0.0317547	0.000759936	-0.00254856	-0.0584129	0.157762
B2Am034	0.0870252	0.00901525	0.0918588	-0.132141	0.0124842	-0.0263952	0.00593269	-0.00309966	-0.0759689	0.155569
B2Am035	0.0134338	0.04277	0.00768349	-0.0688934	0.0149619	-0.00840902	0.0813195	0.0406316	-0.0261641	0.0713549
B2Am036	0.0929914	0.00885989	0.0973251	-0.126436	0.0187418	-0.0299127	-0.0105679	-0.004766	-0.0989224	0.131119
B2Am037	0.0798236	0.0129296	0.0793471	-0.116751	0.0151468	-0.0249142	0.0136638	0.0039022	-0.0754676	0.143149
B2Am038	0.0451783	0.0268446	0.0469067	-0.10256	0.0114494	-0.0220956	0.0526698	0.0228906	0.0656311	-0.0781985
B2Am039	0.0835572	0.00997877	0.0932249	-0.140164	0.0127318	-0.0328403	0.0130741	-0.00813031	-0.00481851	-0.0580584
B2Am040	0.0908629	0.00769548	0.0964762	-0.137127	0.0154044	-0.0355111	4.62193e-05	-0.00171414	0.0417442	-0.0844185
B2Am041	0.0916022	0.00823818	0.0971333	-0.137739	0.0130935	-0.029144	0.00296537	-0.00220757	-0.0725768	0.00527163
B2Am042	0.0870023	0.00767499	0.0977372	-0.132931	0.0156479	-0.0346201	-0.00808618	-0.0101559	0.125174	-0.135812
B2Am043	0.0909426	0.00790824	0.100094	-0.142579	0.0157463	-0.0335259	-0.00136128	-0.00830907	0.0140563	-0.0879012
B2Am044	0.0922107	0.00760318	0.099978	-0.140871	0.0134595	-0.0332725	0.00819564	-0.00229184	-0.0770095	-0.0786667
B2Am045	0.0853765	0.00992812	0.0941562	-0.137959	0.0148314	-0.0337736	0.0111923	-0.000215925	-0.00636933	-0.0573453
B2Am046	0.0896696	0.00895199	0.0903601	-0.125452	0.0170136	-0.028354	0.00383635	-0.00107248	-0.0511737	0.0834722
