Amostra	Cruzamento	Pai	Mae
B2Am001	BA1175 X FSP178	FSP178	BA1175
B2Am002	BA1175 X FSP178	FSP178	BA1175
B2Am003	BA1175 X FSP178	FSP178	BA1175
B2Am004	BA1175 X FSP178	FSP178	BA1175
B2Am005	BA1175 X FSP178	FSP178	BA1175
B2Am006	BA1175 X FSP178	FSP178	BA1175
B2Am007	BA1175 X FSP178	FSP178	BA1175
B2Am008	BA1175 X FSP178	FSP178	BA1175
B2Am009	BA1175 X FSP178	FSP178	BA1175
B2Am010	BA1175 X FSP178	FSP178	BA1175
B2Am011	BA1175 X FSP178	FSP178	BA1175
B2Am012	BA1175 X FSP178	FSP178	BA1175
B2Am013	BA1175 X FSP178	FSP178	BA1175
B2Am014	BA1175 X FSP178	FSP178	BA1175
B2Am015	BA1175 X FSP178	FSP178	BA1175
B2Am016	BA1175 X FSP178	FSP178	BA1175
B2Am017	BA1175 X FSP178	FSP178	BA1175
B2Am018	BA1175 X FSP178	FSP178	BA1175
B2Am019	BA1175 X FSP178	FSP178	BA1175
B2Am020	BA1175 X FSP178	FSP178	BA1175
B2Am021	BA1175 X FSP178	FSP178	BA1175
B2Am022	BA1175 X FSP178	FSP178	BA1175
B2Am023	BA1175 X FSP178	FSP178	BA1175
B2Am024	BA1175 X FSP178	FSP178	BA1175
B2Am025	BA1175 X FSP178	FSP178	BA1175
B2Am026	BA1175 X FSP178	FSP178	BA1175
B2Am027	BA1175 X FSP178	FSP178	BA1175
B2Am028	BA1175 X FSP178	FSP178	BA1175
B2Am029	BA1175 X FSP178	FSP178	BA1175
B2Am030	BA1175 X FSP178	FSP178	BA1175
B2Am031	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am032	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am033	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am034	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am035	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am036	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am037	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am038	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am039	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am040	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am041	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am042	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am043	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am044	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am045	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am046	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am047	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am048	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am049	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am050	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am051	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am052	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am053	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am054	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am055	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am056	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am057	EGR26D2 X BA0869	BA0869	EGR26D2
B2Am058	U0224 X BA1175	BA1175	U0224
B2Am059	U0224 X BA1175	BA1175	U0224
B2Am060	U0224 X BA1175	BA1175	U0224
B2Am061	U0224 X BA1175	BA1175	U0224
B2Am062	U0224 X BA1175	BA1175	U0224
B2Am063	U0224 X BA1175	BA1175	U0224
B2Am064	U0224 X BA1175	BA1175	U0224
B2Am065	U0224 X BA1175	BA1175	U0224
B2Am066	U0224 X BA1175	BA1175	U0224
B2Am067	U0224 X BA1175	BA1175	U0224
B2Am068	U0224 X BA1175	BA1175	U0224
B2Am069	U0224 X BA1175	BA1175	U0224
B2Am070	U0224 X BA1175	BA1175	U0224
B2Am071	U0224 X BA1175	BA1175	U0224
B2Am072	U0224 X BA1175	BA1175	U0224
B2Am073	U0224 X BA1175	BA1175	U0224
B2Am074	U0224 X BA1175	BA1175	U0224
B2Am075	U0224 X BA1175	BA1175	U0224
B2Am076	U0224 X BA1175	BA1175	U0224
B2Am077	U0224 X BA1175	BA1175	U0224
B2Am078	U0224 X BA1175	BA1175	U0224
B2Am079	U0224 X BA1175	BA1175	U0224
B2Am080	U0224 X BA1175	BA1175	U0224
B2Am081	U0224 X BA1175	BA1175	U0224
B2Am082	U0224 X BA1175	BA1175	U0224
B2Am083	U0224 X BA1175	BA1175	U0224
B2Am084	U0224 X BA1175	BA1175	U0224
B2Am085	U0224 X BA1175	BA1175	U0224
B2Am086	U0224 X BA1175	BA1175	U0224
B2Am087	U0224 X BA1175	BA1175	U0224
B2Am088	U0237 X BA0869	BA0869	U0237
B2Am089	U0237 X BA0869	BA0869	U0237
B2Am090	U0237 X BA0869	BA0869	U0237
B2Am091	U0237 X BA0869	BA0869	U0237
B2Am092	U0237 X BA0869	BA0869	U0237
B2Am093	U0237 X BA0869	BA0869	U0237
B2Am094	U0237 X BA0869	BA0869	U0237
B2Am095	U0237 X BA0869	BA0869	U0237
B2Am096	U0237 X BA0869	BA0869	U0237
B2Am097	U0237 X BA0869	BA0869	U0237
B2Am098	U0237 X BA0869	BA0869	U0237
B2Am099	U0237 X BA0869	BA0869	U0237
B2Am100	U0237 X BA0869	BA0869	U0237
B2Am101	U0237 X BA0869	BA0869	U0237
B2Am102	U0237 X BA0869	BA0869	U0237
B2Am103	U0237 X BA0869	BA0869	U0237
B2Am104	U0237 X BA0869	BA0869	U0237
B2Am105	U0237 X BA0869	BA0869	U0237
B2Am106	U0237 X BA0869	BA0869	U0237
B2Am107	U0237 X BA0869	BA0869	U0237
B2Am108	U0237 X BA0869	BA0869	U0237
B2Am109	U0237 X BA0869	BA0869	U0237
B2Am110	U0237 X BA0869	BA0869	U0237
B2Am111	U0237 X BA0869	BA0869	U0237
B2Am112	U0237 X BA0869	BA0869	U0237
B2Am113	U0237 X BA0869	BA0869	U0237
B2Am114	U0237 X BA0869	BA0869	U0237
B2Am115	U0237 X BA0869	BA0869	U0237
B2Am116	U0237 X BA0869	BA0869	U0237
B2Am117	U0237 X BA0869	BA0869	U0237
B2Am118	BA1338 X BA1175	BA1175	BA1338
B2Am119	BA1338 X BA1175	BA1175	BA1338
B2Am120	BA1338 X BA1175	BA1175	BA1338
B2Am121	BA1338 X BA1175	BA1175	BA1338
B2Am122	BA1338 X BA1175	BA1175	BA1338
B2Am123	BA1338 X BA1175	BA1175	BA1338
B2Am124	BA1338 X BA1175	BA1175	BA1338
B2Am125	BA1338 X BA1175	BA1175	BA1338
B2Am126	BA1338 X BA1175	BA1175	BA1338
B2Am127	BA1338 X BA1175	BA1175	BA1338
B2Am128	BA1338 X BA1175	BA1175	BA1338
B2Am129	BA1338 X BA1175	BA1175	BA1338
B2Am130	BA1338 X BA1175	BA1175	BA1338
B2Am131	BA1338 X BA1175	BA1175	BA1338
B2Am132	BA1338 X BA1175	BA1175	BA1338
Am001	AEC0224 X BA1175	BA1175	AEC0224
Am004	AEC0224 X BA1175	BA1175	AEC0224
Am005	AEC0224 X BA1175	BA1175	AEC0224
Am006	AEC0224 X BA1175	BA1175	AEC0224
Am007	AEC0224 X BA1175	BA1175	AEC0224
Am008	AEC0224 X BA1175	BA1175	AEC0224
Am009	AEC0224 X BA1175	BA1175	AEC0224
Am010	AEC0224 X BA1175	BA1175	AEC0224
Am011	AEC0224 X BA1175	BA1175	AEC0224
Am012	AEC0224 X BA1175	BA1175	AEC0224
Am014	AEC0224 X BA1175	BA1175	AEC0224
Am015	AEC0224 X BA1175	BA1175	AEC0224
Am016	AEC0224 X BA1175	BA1175	AEC0224
Am017	AEC0224 X BA1175	BA1175	AEC0224
Am018	AEC0224 X BA1175	BA1175	AEC0224
Am019	AEC0224 X BA1175	BA1175	AEC0224
Am020	AEC0224 X BA1175	BA1175	AEC0224
Am021	AEC0224 X BA1175	BA1175	AEC0224
Am022	AEC0224 X BA1175	BA1175	AEC0224
Am023	AEC0224 X BA1175	BA1175	AEC0224
Am024	AEC0224 X BA1175	BA1175	AEC0224
Am025	AEC0224 X BA1175	BA1175	AEC0224
Am026	AEC0224 X BA1175	BA1175	AEC0224
Am027	AEC0224 X BA1175	BA1175	AEC0224
Am028	AEC0224 X BA1175	BA1175	AEC0224
Am029	AEC0224 X BA1175	BA1175	AEC0224
Am030	AEC0224 X BA1175	BA1175	AEC0224
Am031	BA1338 X BA0869	BA0869	BA1338
Am032	BA1338 X BA0869	BA0869	BA1338
Am033	BA1338 X BA0869	BA0869	BA1338
Am034	BA1338 X BA0869	BA0869	BA1338
Am035	BA1338 X BA0869	BA0869	BA1338
Am036	BA1338 X BA0869	BA0869	BA1338
Am037	BA1338 X BA0869	BA0869	BA1338
Am038	BA1338 X BA0869	BA0869	BA1338
Am039	BA1338 X BA0869	BA0869	BA1338
Am040	BA1338 X BA0869	BA0869	BA1338
Am041	BA1338 X BA0869	BA0869	BA1338
Am042	BA1338 X BA0869	BA0869	BA1338
Am043	BA1338 X BA0869	BA0869	BA1338
Am044	BA1338 X BA0869	BA0869	BA1338
Am045	BA1338 X BA0869	BA0869	BA1338
Am046	BA1338 X BA0869	BA0869	BA1338
Am047	BA1338 X BA0869	BA0869	BA1338
Am048	BA1338 X BA0869	BA0869	BA1338
Am049	BA1338 X BA0869	BA0869	BA1338
Am050	BA1338 X BA0869	BA0869	BA1338
Am051	BA1338 X BA0869	BA0869	BA1338
Am053	BA1338 X BA0869	BA0869	BA1338
Am054	BA1338 X BA0869	BA0869	BA1338
Am055	BA1338 X BA0869	BA0869	BA1338
Am056	BA1338 X BA0869	BA0869	BA1338
Am057	BA1338 X BA0869	BA0869	BA1338
Am058	BA1338 X BA0869	BA0869	BA1338
Am059	BA1338 X BA0869	BA0869	BA1338
Am060	BA1338 X BA0869	BA0869	BA1338
Am061	MA4417 X AEC0224	AEC0224	MA4417
Am062	MA4417 X AEC0224	AEC0224	MA4417
Am066	MA4417 X AEC0224	AEC0224	MA4417
Am067	MA4417 X AEC0224	AEC0224	MA4417
Am068	MA4417 X AEC0224	AEC0224	MA4417
Am071	MA4417 X AEC0224	AEC0224	MA4417
Am072	MA4417 X AEC0224	AEC0224	MA4417
Am073	MA4417 X AEC0224	AEC0224	MA4417
Am074	MA4417 X AEC0224	AEC0224	MA4417
Am076	MA4417 X AEC0224	AEC0224	MA4417
Am078	MA4417 X AEC0224	AEC0224	MA4417
Am079	MA4417 X AEC0224	AEC0224	MA4417
Am081	MA4417 X AEC0224	AEC0224	MA4417
