AM1	AM2	RELAT
B2Am001	B2Am001	1.17854
B2Am001	B2Am002	0.199119
B2Am001	B2Am003	0.167466
B2Am001	B2Am004	0.176664
B2Am001	B2Am005	0.166964
B2Am001	B2Am006	0.19191
B2Am001	B2Am007	0.171023
B2Am001	B2Am008	0.209687
B2Am001	B2Am009	0.213285
B2Am001	B2Am010	0.189762
B2Am001	B2Am011	0.166759
B2Am001	B2Am012	0.155924
B2Am001	B2Am013	0.183049
B2Am001	B2Am014	0.15855
B2Am001	B2Am015	0.135951
B2Am001	B2Am016	0.190631
B2Am001	B2Am017	0.189366
B2Am001	B2Am018	0.182258
B2Am001	B2Am019	0.177547
B2Am001	B2Am020	0.202367
B2Am001	B2Am021	0.161691
B2Am001	B2Am022	0.197486
B2Am001	B2Am023	0.142218
B2Am001	B2Am024	0.122013
B2Am001	B2Am025	0.192594
B2Am001	B2Am026	0.144116
B2Am001	B2Am027	0.136541
B2Am001	B2Am028	0.137998
B2Am001	B2Am029	0.151267
B2Am001	B2Am030	0.132542
B2Am001	B2Am031	-0.076328
B2Am001	B2Am032	-0.0712617
B2Am001	B2Am033	-0.0635502
B2Am001	B2Am034	-0.068935
B2Am001	B2Am035	0.0720256
B2Am001	B2Am036	-0.0775023
B2Am001	B2Am037	-0.0589354
B2Am001	B2Am038	0.051278
B2Am001	B2Am039	-0.0654225
B2Am001	B2Am040	-0.0775793
B2Am001	B2Am041	-0.0744293
B2Am001	B2Am042	-0.0729687
B2Am001	B2Am043	-0.0746147
B2Am001	B2Am044	-0.0773674
B2Am001	B2Am045	-0.0690456
B2Am001	B2Am046	-0.071356
B2Am001	B2Am047	-0.0644706
B2Am001	B2Am048	-0.0716591
B2Am001	B2Am049	0.00625236
B2Am001	B2Am050	-0.0692445
B2Am001	B2Am051	-0.0584219
B2Am001	B2Am052	-0.0672424
B2Am001	B2Am053	-0.0756459
B2Am001	B2Am054	-0.0777412
B2Am001	B2Am055	-0.070687
B2Am001	B2Am056	-0.0681785
B2Am001	B2Am057	-0.0689867
B2Am001	B2Am058	0.0189802
B2Am001	B2Am059	0.0214543
B2Am001	B2Am060	0.0185559
B2Am001	B2Am061	0.0171835
B2Am001	B2Am062	0.0413188
B2Am001	B2Am063	0.0208045
